Wavelength (nm),Channel 1 power (dBm)
1565.6,-68.21424842983673
1565.7,nan
1565.8,nan
1565.9,-67.67045324801822
1566.0,-56.773070305132734
1566.1,-61.58611370215329
1566.2,-63.742210987440174
1566.3,-63.742210987440174
1566.4,-58.2136293050014
1566.5,-58.86865435279467
1566.6,-58.242687407275454
1566.7,-61.46202818679785
1566.8,-58.70350298008692
1566.9,-56.11846382390912
1567.0,-59.110973794856946
1567.1,-62.340358107125475
1567.2,-61.46202818679785
1567.3,-54.698217147081856
1567.4,-55.11730340393005
1567.5,-67.93384508321249
1567.6,-59.25574285712056
1567.7,-56.319651161942225
1567.8,-53.198437031254244
1567.9,-56.899578357588865
1568.0,-59.6003164255815
1568.1,-57.18700605418757
1568.2,-55.84152517483459
1568.3,-53.5104680938537
1568.4,-56.35724982808575
1568.5,-61.649534706421136
1568.6,-61.649534706421136
1568.7,-53.46172559306843
1568.8,-51.75936360594864
1568.9,-55.660881150280154
1569.0,-60.19733829721672
1569.1,-58.86865435279467
1569.2,-53.32808972027996
1569.3,-52.35522488862421
1569.4,-56.5305992971896
1569.5,-58.2136293050014
1569.6,-59.29271489309217
1569.7,-52.864870757764294
1569.8,-53.00220987607134
1569.9,-55.29104101258813
1570.0,-56.030010005106085
